Target: C:\Git Repos\NUnit\nunit\src\NUnitFramework\nunitlite\nunitlite-4.5.csproj
Minimum depth:20
Config: sub+vec
Runtime in ms: 1870
C:\Git Repos\NUnit\nunit\src\NUnitFramework\nunitlite\ColorConsole.cs: (67,20)-(94,21) vs C:\Git Repos\NUnit\nunit\src\NUnitFramework\nunitlite\ColorConsole.cs: (131,20)-(158,21)
C:\Git Repos\NUnit\nunit\src\NUnitFramework\nunitlite\ColorConsole.cs: (101,20)-(128,21) vs C:\Git Repos\NUnit\nunit\src\NUnitFramework\nunitlite\ColorConsole.cs: (67,20)-(94,21)
C:\Git Repos\NUnit\nunit\src\NUnitFramework\nunitlite\ColorConsole.cs: (101,20)-(128,21) vs C:\Git Repos\NUnit\nunit\src\NUnitFramework\nunitlite\ColorConsole.cs: (131,20)-(158,21)
C:\Git Repos\NUnit\nunit\src\NUnitFramework\nunitlite\ColorConsoleWriter.cs: (71,8)-(79,9) vs C:\Git Repos\NUnit\nunit\src\NUnitFramework\nunitlite\ColorConsoleWriter.cs: (55,8)-(63,9)
C:\Git Repos\NUnit\nunit\src\NUnitFramework\nunitlite\ColorConsoleWriter.cs: (72,12)-(78,33) vs C:\Git Repos\NUnit\nunit\src\NUnitFramework\nunitlite\ColorConsoleWriter.cs: (56,12)-(62,29)
C:\Git Repos\NUnit\nunit\src\NUnitFramework\nunitlite\CommandLineOptions.cs: (387,12)-(388,64) vs C:\Git Repos\NUnit\nunit\src\NUnitFramework\nunitlite\CommandLineOptions.cs: (416,12)-(417,60)
C:\Git Repos\NUnit\nunit\src\NUnitFramework\nunitlite\CommandLineOptions.cs: (387,12)-(388,63) vs C:\Git Repos\NUnit\nunit\src\NUnitFramework\nunitlite\CommandLineOptions.cs: (413,12)-(414,66)
C:\Git Repos\NUnit\nunit\src\NUnitFramework\nunitlite\CommandLineOptions.cs: (387,12)-(388,63) vs C:\Git Repos\NUnit\nunit\src\NUnitFramework\nunitlite\CommandLineOptions.cs: (416,12)-(417,59)
C:\Git Repos\NUnit\nunit\src\NUnitFramework\nunitlite\CommandLineOptions.cs: (387,12)-(388,63) vs C:\Git Repos\NUnit\nunit\src\NUnitFramework\nunitlite\CommandLineOptions.cs: (419,12)-(420,71)
C:\Git Repos\NUnit\nunit\src\NUnitFramework\nunitlite\CommandLineOptions.cs: (387,12)-(388,63) vs C:\Git Repos\NUnit\nunit\src\NUnitFramework\nunitlite\CommandLineOptions.cs: (429,12)-(430,64)
C:\Git Repos\NUnit\nunit\src\NUnitFramework\nunitlite\CommandLineOptions.cs: (387,12)-(388,63) vs C:\Git Repos\NUnit\nunit\src\NUnitFramework\nunitlite\CommandLineOptions.cs: (432,12)-(433,60)
